,Weight,Predictor
96,0.0015026015369914065,credit_bal_mtg_90to119dpd
135,0.0014334532586547568,credit_minmob_1stmtgcredit
134,0.0013726762324882465,credit_highcrd_consumerfinance_new
116,0.001365483573361283,credit_hh_agencyfirstmtg_new
115,0.001348854502093855,credit_hh_agencyfirstmtg
118,0.0012851042139847082,credit_hh_autobank_new
108,0.0012491808068440568,credit_bal_totalallcredit_60dpd
162,0.0012366559756255473,credit_num_mtg_severederog
142,0.0012031271469537734,credit_num_1stmtg_collections
124,0.001181361456150676,credit_hh_consumerfinance_new
246,0.0011749709978234185,rx_generic_pmpm_ct
26,0.0011422736669741802,betos_t1h_pmpm_ct
18,0.0010728615046828288,betos_m5d_pmpm_ct
95,0.0010317378119719688,credit_bal_heloc_severederog
155,0.0010046005522213785,credit_num_consumerfinance
137,0.0009885543000689502,credit_minmob_mtgcredit
79,0.0009794298518313077,credit_bal_1stmtg_30to59dpd
0,0.0009660605088088005,person_id_syn
139,0.0009434841335888564,credit_num_1stmtg_30to59dpd
121,0.0008312632476469603,credit_hh_bankcard_severederog
156,0.0008053966232434896,credit_num_consumerfinance_new
386,0.0007313651674198179,submcc_cir_othr_pmpm_ct
113,0.000670595999697311,credit_hh_1stmtgcredit
154,0.000595483648116128,credit_num_bankcard_severederog
112,0.0004923155491042468,credit_hh_1stmtg_severederog
176,0.00048149940615306044,credit_prcnt_mtgcredit
172,0.00040640162640381524,credit_num_totalallcredit_collections
87,0.0002925234891929595,credit_bal_autobank
132,0.00017708016808214454,credit_hh_totalallcredit_collections
166,0.00012312246966510827,credit_num_nonagn1stmorg_90to119dp
